S1	S2	D1	D2
0.0	81.6496580927726	0	0
8.678826760596417	81.18709646690304	0	0
17.25931894611206	79.80465259734575	0	0
25.644256151494318	77.51799012553931	0	0
33.73863368775531	74.3530178509933	0	0
41.45073902306004	70.34559617423704	0	0
48.69319092235856	65.54113078415266	0	0
55.3839295116949	59.99405819337676	0	0
61.44714604936836	53.76722895086058	0	0
66.81414186926871	46.93119552003655	0	0
71.42410676421378	39.56341289121628	0	0
75.2248079898953	31.747360985600853	0	0
78.17318208274315	23.57159879441678	0	0
80.23582278617488	15.128760970158979	0	0
81.38935955683118	6.5145082389631	0	0
81.62072236217062	-2.1735564736456268	0	0
80.92728976916081	-10.83699392289885	0	0
79.31691864616215	-19.37764390076257	0	0
76.80785514146987	-27.698737430317014	0	0
73.42852794716306	-35.70599319693208	0	0
69.21722619066382	-43.308685793234915	0	0
64.22166560362412	-50.420673674227615	0	0
58.49844788361982	-56.96137517541236	0	0
52.11241937430034	-62.856681535248995	0	0
45.1359363304038	-68.0397965770357	0	0
37.64804509247873	-72.45199353628135	0	0
29.733586460260344	-76.04328045841321	0	0
21.482234412508852	-78.77296662759811	0	0
12.987480064998332	-80.61012360881192	0	0
4.345572378817659	-81.5339356793668	0	0
-4.345572378817638	-81.5339356793668	0	0
-12.987480064998312	-80.61012360881192	0	0
-21.482234412508834	-78.77296662759812	0	0
-29.733586460260295	-76.04328045841324	0	0
-37.64804509247868	-72.45199353628138	0	0
-45.13593633040376	-68.03979657703573	0	0
-52.112419374300295	-62.85668153524903	0	0
-58.498447883619775	-56.96137517541239	0	0
-64.2216656036241	-50.42067367422763	0	0
-69.21722619066382	-43.308685793234936	0	0
-73.42852794716305	-35.7059931969321	0	0
-76.80785514146987	-27.69873743031705	0	0
-79.31691864616214	-19.377643900762607	0	0
-80.9272897691608	-10.836993922898888	0	0
-81.62072236217061	-2.173556473645665	0	0
-81.3893595568312	6.514508238963063	0	0
-80.2358227861749	15.128760970158924	0	0
-78.17318208274317	23.571598794416726	0	0
-75.22480798989531	31.747360985600803	0	0
-71.4241067642138	39.56341289121623	0	0
-66.81414186926875	46.931195520036496	0	0
-61.447146049368406	53.767228950860535	0	0
-55.383929511694944	59.99405819337671	0	0
-48.693190922358625	65.54113078415261	0	0
-41.45073902306004	70.34559617423704	0	0
-33.73863368775532	74.3530178509933	0	0
-25.64425615149433	77.51799012553931	0	0
-17.25931894611207	79.80465259734574	0	0
-8.678826760596433	81.18709646690304	0	0
-1.999839848695795e-14	81.6496580927726	0	0
S1	S2	D1	D2
0.0	89.81462390204986	0	0
9.546709436656059	89.30580611359335	0	0
18.985250840723264	87.78511785708032	0	0
28.20868176664375	85.26978913809326	0	0
37.11249705653084	81.78831963609264	0	0
45.59581292536604	77.38015579166074	0	0
53.562510014594416	72.09524386256793	0	0
60.92232246286439	65.99346401271444	0	0
67.5918606543052	59.14395184594664	0	0
73.49555605619558	51.62431507204021	0	0
78.56651744063515	43.519754180337905	0	0
82.74728878888483	34.92209708416094	0	0
85.99050029101747	25.928758673858457	0	0
88.25940506479236	16.641637067174877	0	0
89.5282955125143	7.165959062859411	0	0
89.78279459838768	-2.3909121210101896	0	0
89.02001874607689	-11.920693315188736	0	0
87.24861051077836	-21.31540829083883	0	0
84.48864065561686	-30.468611173348716	0	0
80.77138074187937	-39.276592516625286	0	0
76.13894880973021	-47.63955437255841	0	0
70.64383216398653	-55.462741041650375	0	0
64.3482926719818	-62.65751269295359	0	0
57.323661311730376	-69.14234968877389	0	0
49.64952996344419	-74.84377623473928	0	0
41.41284960172661	-79.69719288990949	0	0
32.70694510628638	-83.64760850425453	0	0
23.63045785375974	-86.65026329035793	0	0
14.286228071498167	-88.67113596969311	0	0
4.7801296166994245	-89.68732924730348	0	0
-4.780129616699402	-89.68732924730348	0	0
-14.286228071498144	-88.67113596969311	0	0
-23.63045785375972	-86.65026329035794	0	0
-32.70694510628633	-83.64760850425455	0	0
-41.412849601726556	-79.69719288990952	0	0
-49.64952996344414	-74.84377623473931	0	0
-57.323661311730326	-69.14234968877393	0	0
-64.34829267198175	-62.65751269295363	0	0
-70.64383216398652	-55.462741041650396	0	0
-76.1389488097302	-47.63955437255843	0	0
-80.77138074187936	-39.27659251662531	0	0
-84.48864065561686	-30.468611173348755	0	0
-87.24861051077835	-21.315408290838867	0	0
-89.02001874607689	-11.920693315188776	0	0
-89.78279459838768	-2.3909121210102318	0	0
-89.52829551251432	7.165959062859369	0	0
-88.25940506479239	16.641637067174816	0	0
-85.9905002910175	25.9287586738584	0	0
-82.74728878888484	34.92209708416088	0	0
-78.56651744063518	43.519754180337856	0	0
-73.49555605619562	51.624315072040154	0	0
-67.59186065430525	59.14395184594659	0	0
-60.92232246286444	65.99346401271438	0	0
-53.56251001459449	72.09524386256788	0	0
-45.59581292536604	77.38015579166074	0	0
-37.11249705653085	81.78831963609262	0	0
-28.208681766643764	85.26978913809326	0	0
-18.98525084072328	87.78511785708031	0	0
-9.546709436656077	89.30580611359335	0	0
-2.1998238335653745e-14	89.81462390204986	0	0
S1	S2	D1	D2
0.0	106.14455552060438	0	0
11.282474788775342	105.54322540697396	0	0
22.43711462994568	103.74604837654948	0	0
33.33753299694261	100.77338716320112	0	0
43.86022379408191	96.6589232062913	0	0
53.88596072997805	91.44927502650816	0	0
63.301148199066134	85.20347001939845	0	0
71.99910836520338	77.99227565138979	0	0
79.88128986417887	69.89739763611875	0	0
86.85838443004934	61.01055417604753	0	0
92.85133879347791	51.43243675858117	0	0
97.79225038686388	41.27156928128111	0	0
101.62513670756611	30.643078432741817	0	0
104.30656962202735	19.667389261206676	0	0
105.80616742388054	8.46886071065203	0	0
106.10693907082182	-2.825623415739315	0	0
105.20547669990906	-14.088092099768508	0	0
103.1119942400108	-25.190937070991342	0	0
99.85021168391086	-36.00835865941212	0	0
95.45708633131198	-46.4177911560117	0	0
89.98239404786298	-56.30129153120539	0	0
83.48816528471136	-65.5468757764959	0	0
76.04798224870576	-74.04978772803607	0	0
67.74614518659045	-81.7136859958237	0	0
58.676717229524954	-88.45173555014642	0	0
48.94245862022236	-94.18759159716575	0	0
38.653662398338454	-98.85626459593718	0	0
27.926904736261513	-102.40485661587755	0	0
16.883724084497832	-104.7931606914555	0	0
5.649244092462957	-105.99411638317684	0	0
-5.64924409246293	-105.99411638317684	0	0
-16.883724084497807	-104.7931606914555	0	0
-27.926904736261488	-102.40485661587756	0	0
-38.65366239833839	-98.8562645959372	0	0
-48.9424586202223	-94.18759159716579	0	0
-58.67671722952489	-88.45173555014647	0	0
-67.74614518659038	-81.71368599582375	0	0
-76.04798224870572	-74.04978772803611	0	0
-83.48816528471134	-65.54687577649592	0	0
-89.98239404786297	-56.30129153120542	0	0
-95.45708633131197	-46.41779115601173	0	0
-99.85021168391084	-36.00835865941217	0	0
-103.11199424001079	-25.19093707099139	0	0
-105.20547669990904	-14.088092099768554	0	0
-106.10693907082181	-2.825623415739365	0	0
-105.80616742388055	8.468860710651983	0	0
-104.30656962202737	19.6673892612066	0	0
-101.62513670756613	30.643078432741746	0	0
-97.79225038686391	41.271569281281046	0	0
-92.85133879347795	51.432436758581105	0	0
-86.85838443004938	61.01055417604746	0	0
-79.88128986417894	69.8973976361187	0	0
-71.99910836520344	77.99227565138973	0	0
-63.30114819906622	85.20347001939841	0	0
-53.88596072997805	91.44927502650816	0	0
-43.86022379408191	96.65892320629129	0	0
-33.337532996942635	100.77338716320112	0	0
-22.437114629945693	103.74604837654947	0	0
-11.282474788775364	105.54322540697396	0	0
-2.5997918033045335e-14	106.14455552060438	0	0
S1	S2	D1	D2
0.0	130.63945294843617	0	0
13.886122816954268	129.8993543470449	0	0
27.614910313779298	127.68744415575321	0	0
41.03080984239091	124.02878420086293	0	0
53.981813900408504	118.9648285615893	0	0
66.32118243689607	112.55295387877928	0	0
77.90910547577371	104.86580925464426	0	0
88.61428721871185	95.99049310940282	0	0
98.3154336789894	86.02756632137694	0	0
106.90262699082996	75.0899128320585	0	0
114.27857082274205	63.301460625946056	0	0
120.35969278383249	50.79577757696137	0	0
125.07709133238906	37.714558071066854	0	0
128.37731645787983	24.20601755225437	0	0
130.2229752909299	10.423213182340962	0	0
130.59315577947302	-3.4776903578330036	0	0
129.4836636306573	-17.339190276638163	0	0
126.90706983385945	-31.004230241220117	0	0
122.89256822635183	-44.317979888507224	0	0
117.48564471546091	-57.129589115091335	0	0
110.74756190506213	-69.29389726917587	0	0
102.7546649657986	-80.67307787876419	0	0
93.59751661379171	-91.13820028065977	0	0
83.37987099888055	-100.57069045639841	0	0
72.2174981286461	-108.86367452325715	0	0
60.23687214796598	-115.92318965805016	0	0
47.57373833641656	-121.66924873346116	0	0
34.37157506001417	-126.03674660415699	0	0
20.779968103997334	-128.9761977740991	0	0
6.952915806108255	-130.4542970869869	0	0
