    STEP   AVACS   MODE1
       1   8.000   1.000
       2   8.000   1.000
       3   8.000   1.000
       4   4.000   1.000
       5   8.000   1.000
       6   7.998   1.000
       7   7.773   1.000
       8   6.207   1.000
       9   7.847   1.000
      10   8.000   1.000
      11   7.847   1.000
      12   6.185   1.000
      13   7.740   1.000
      14   7.997   1.000
      15   7.323   1.000
      16   7.487   1.000
      17   7.903   1.000
      18   8.000   1.000
  STRAIN   AVACS   MODE1
   0.000   8.000   1.000
   0.000   8.000   1.000
   0.001   8.000   1.000
   0.001   8.000   1.000
   0.001   8.000   1.000
   0.001   8.000   1.000
   0.002   8.000   1.000
   0.002   8.000   1.000
   0.002   8.000   1.000
   0.002   8.000   1.000
   0.003   8.000   1.000
   0.003   8.000   1.000
   0.003   8.000   1.000
   0.003   8.000   1.000
   0.004   8.000   1.000
   0.004   8.000   1.000
   0.004   8.000   1.000
   0.004   8.000   1.000
   0.005   8.000   1.000
   0.005   8.000   1.000
   0.005   8.000   1.000
   0.005   8.000   1.000
   0.006   8.000   1.000
   0.006   8.000   1.000
   0.006   8.000   1.000
   0.006   8.000   1.000
   0.007   8.000   1.000
   0.007   8.000   1.000
   0.007   8.000   1.000
   0.007   8.000   1.000
   0.008   8.000   1.000
   0.008   8.000   1.000
   0.008   8.000   1.000
   0.008   8.000   1.000
   0.009   8.000   1.000
   0.009   8.000   1.000
   0.009   8.000   1.000
   0.009   8.000   1.000
   0.010   8.000   1.000
   0.010   8.000   1.000
   0.010   8.000   1.000
   0.010   8.000   1.000
   0.011   8.000   1.000
   0.011   8.000   1.000
   0.011   8.000   1.000
   0.011   8.000   1.000
   0.012   8.000   1.000
   0.012   8.000   1.000
   0.012   8.000   1.000
   0.012   8.000   1.000
   0.013   8.000   1.000
    STEP   AVACS   MODE1
       1   8.000   1.000
       2   8.000   1.000
       3   8.000   1.000
       4   4.000   1.000
       5   8.000   1.000
       6   7.997   1.000
       7   7.768   1.000
       8   6.192   1.000
       9   7.848   1.000
      10   8.000   1.000
      11   7.846   1.000
      12   6.188   1.000
      13   7.744   1.000
      14   7.998   1.000
      15   7.388   1.000
      16   7.483   1.000
      17   7.923   1.000
      18   8.000   1.000
  STRAIN   AVACS   MODE1
   0.013   8.000   1.000
   0.013   8.000   1.000
   0.013   8.000   1.000
   0.013   8.000   1.000
   0.014   8.000   1.000
   0.014   8.000   1.000
   0.014   8.000   1.000
   0.014   8.000   1.000
   0.015   8.000   1.000
   0.015   8.000   1.000
   0.015   8.000   1.000
   0.015   8.000   1.000
   0.016   8.000   1.000
   0.016   8.000   1.000
   0.016   8.000   1.000
   0.016   8.000   1.000
   0.017   8.000   1.000
   0.017   8.000   1.000
   0.017   8.000   1.000
   0.017   8.000   1.000
   0.018   8.000   1.000
   0.018   8.000   1.000
   0.018   8.000   1.000
   0.018   8.000   1.000
   0.019   8.000   1.000
   0.019   8.000   1.000
   0.019   8.000   1.000
   0.019   8.000   1.000
   0.020   8.000   1.000
   0.020   8.000   1.000
   0.020   8.000   1.000
   0.020   8.000   1.000
   0.021   8.000   1.000
   0.021   8.000   1.000
   0.021   8.000   1.000
   0.021   8.000   1.000
   0.022   8.000   1.000
   0.022   8.000   1.000
   0.022   8.000   1.000
   0.022   8.000   1.000
   0.023   8.000   1.000
   0.023   8.000   1.000
   0.023   8.000   1.000
   0.023   8.000   1.000
   0.024   8.000   1.000
   0.024   8.000   1.000
   0.024   8.000   1.000
   0.024   8.000   1.000
   0.025   8.000   1.000
   0.025   8.000   1.000
   0.025   8.000   1.000
    STEP   AVACS   MODE1
       1   8.000   1.000
       2   8.000   1.000
       3   8.000   1.000
       4   4.000   1.000
       5   8.000   1.000
       6   7.997   1.000
       7   7.766   1.000
       8   6.192   1.000
       9   7.850   1.000
      10   8.000   1.000
      11   7.845   1.000
      12   6.188   1.000
      13   7.741   1.000
      14   7.997   1.000
      15   7.458   1.000
      16   7.463   1.000
      17   7.942   1.000
      18   8.000   1.000
  STRAIN   AVACS   MODE1
   0.025   8.000   1.000
   0.025   8.000   1.000
   0.026   8.000   1.000
   0.026   8.000   1.000
   0.026   8.000   1.000
   0.026   8.000   1.000
   0.027   8.000   1.000
   0.027   8.000   1.000
   0.027   8.000   1.000
   0.027   8.000   1.000
   0.028   8.000   1.000
   0.028   8.000   1.000
   0.028   8.000   1.000
   0.028   8.000   1.000
   0.029   8.000   1.000
   0.029   8.000   1.000
   0.029   8.000   1.000
   0.029   8.000   1.000
   0.030   8.000   1.000
   0.030   8.000   1.000
   0.030   8.000   1.000
   0.030   8.000   1.000
   0.031   8.000   1.000
   0.031   8.000   1.000
   0.031   8.000   1.000
   0.031   8.000   1.000
   0.032   8.000   1.000
   0.032   8.000   1.000
   0.032   8.000   1.000
   0.032   8.000   1.000
   0.033   8.000   1.000
   0.033   8.000   1.000
   0.033   8.000   1.000
   0.033   8.000   1.000
   0.034   8.000   1.000
   0.034   8.000   1.000
   0.034   8.000   1.000
   0.034   8.000   1.000
   0.035   8.000   1.000
   0.035   8.000   1.000
   0.035   8.000   1.000
   0.035   8.000   1.000
   0.036   8.000   1.000
   0.036   8.000   1.000
   0.036   8.000   1.000
   0.036   8.000   1.000
   0.037   8.000   1.000
   0.037   8.000   1.000
   0.037   8.000   1.000
   0.037   8.000   1.000
   0.038   8.000   1.000
    STEP   AVACS   MODE1
       1   8.000   1.000
       2   8.000   1.000
       3   8.000   1.000
       4   4.000   1.000
       5   8.000   1.000
       6   7.997   1.000
       7   7.766   1.000
       8   6.192   1.000
       9   7.850   1.000
      10   8.000   1.000
      11   7.845   1.000
      12   6.188   1.000
      13   7.741   1.000
      14   7.997   1.000
      15   7.507   1.000
      16   7.442   1.000
      17   7.951   1.000
      18   8.000   1.000
  STRAIN   AVACS   MODE1
   0.038   8.000   1.000
   0.038   8.000   1.000
   0.038   8.000   1.000
   0.038   8.000   1.000
   0.039   8.000   1.000
   0.039   8.000   1.000
   0.039   8.000   1.000
   0.039   8.000   1.000
   0.040   8.000   1.000
   0.040   8.000   1.000
   0.040   8.000   1.000
   0.040   8.000   1.000
   0.041   8.000   1.000
   0.041   8.000   1.000
   0.041   8.000   1.000
   0.041   8.000   1.000
   0.042   8.000   1.000
   0.042   8.000   1.000
   0.042   8.000   1.000
   0.042   8.000   1.000
   0.043   8.000   1.000
   0.043   8.000   1.000
   0.043   8.000   1.000
   0.043   8.000   1.000
   0.044   8.000   1.000
   0.044   8.000   1.000
   0.044   8.000   1.000
   0.044   8.000   1.000
   0.045   8.000   1.000
   0.045   8.000   1.000
   0.045   8.000   1.000
   0.045   8.000   1.000
   0.046   8.000   1.000
   0.046   8.000   1.000
   0.046   8.000   1.000
   0.046   8.000   1.000
   0.047   8.000   1.000
   0.047   8.000   1.000
   0.047   8.000   1.000
   0.047   8.000   1.000
   0.048   8.000   1.000
   0.048   8.000   1.000
   0.048   8.000   1.000
   0.048   8.000   1.000
   0.049   8.000   1.000
   0.049   8.000   1.000
   0.049   8.000   1.000
   0.049   8.000   1.000
   0.050   8.000   1.000
   0.050   8.000   1.000
