          S1          S2          D1          D2
 -0.4304E+00  0.2911E+03  0.2514E-06  0.3436E-02
  0.1567E+02  0.2896E+03  0.6034E-03  0.3420E-02
  0.3610E+02  0.2840E+03  0.1226E-02  0.3365E-02
  0.9462E+02  0.2545E+03  0.1868E-02  0.3235E-02
  0.2242E+03  0.1730E+03  0.2324E-02  0.2769E-02
  0.2422E+03  0.1550E+03  0.2686E-02  0.2253E-02
  0.2554E+03  0.1360E+03  0.2994E-02  0.1729E-02
  0.2859E+03  0.6794E+02  0.3219E-02  0.1172E-02
  0.3004E+03  0.1650E+02  0.3297E-02  0.5814E-03
  0.3019E+03  0.1179E+00  0.3313E-02 -0.1996E-08
  0.3004E+03 -0.1620E+02  0.3297E-02 -0.5814E-03
  0.2864E+03 -0.6617E+02  0.3221E-02 -0.1172E-02
  0.2551E+03 -0.1363E+03  0.2996E-02 -0.1730E-02
  0.2414E+03 -0.1560E+03  0.2686E-02 -0.2254E-02
  0.2200E+03 -0.1771E+03  0.2320E-02 -0.2765E-02
  0.1336E+03 -0.2391E+03  0.1826E-02 -0.3162E-02
  0.3995E+02 -0.2832E+03  0.1223E-02 -0.3359E-02
  0.1687E+02 -0.2896E+03  0.6024E-03 -0.3418E-02
  0.4304E+00 -0.2911E+03 -0.2514E-06 -0.3436E-02
 -0.1567E+02 -0.2896E+03 -0.6034E-03 -0.3420E-02
 -0.3610E+02 -0.2840E+03 -0.1226E-02 -0.3365E-02
 -0.9462E+02 -0.2545E+03 -0.1868E-02 -0.3235E-02
 -0.2242E+03 -0.1730E+03 -0.2324E-02 -0.2769E-02
 -0.2422E+03 -0.1550E+03 -0.2686E-02 -0.2253E-02
 -0.2554E+03 -0.1360E+03 -0.2994E-02 -0.1729E-02
 -0.2859E+03 -0.6794E+02 -0.3219E-02 -0.1172E-02
 -0.3004E+03 -0.1650E+02 -0.3297E-02 -0.5814E-03
 -0.3019E+03 -0.1179E+00 -0.3313E-02  0.1996E-08
 -0.3004E+03  0.1620E+02 -0.3297E-02  0.5814E-03
 -0.2864E+03  0.6617E+02 -0.3221E-02  0.1172E-02
 -0.2551E+03  0.1363E+03 -0.2996E-02  0.1730E-02
 -0.2414E+03  0.1560E+03 -0.2686E-02  0.2254E-02
 -0.2200E+03  0.1771E+03 -0.2320E-02  0.2765E-02
 -0.1336E+03  0.2391E+03 -0.1826E-02  0.3162E-02
 -0.3995E+02  0.2832E+03 -0.1223E-02  0.3359E-02
 -0.1687E+02  0.2896E+03 -0.6024E-03  0.3418E-02
 -0.4304E+00  0.2911E+03  0.2514E-06  0.3436E-02
          S1          S2          D1          D2
 -0.4194E+00  0.3082E+03  0.8210E-06  0.3245E-02
  0.1660E+02  0.3067E+03  0.5699E-03  0.3230E-02
  0.3822E+02  0.3007E+03  0.1158E-02  0.3178E-02
  0.1003E+03  0.2694E+03  0.1764E-02  0.3055E-02
  0.2374E+03  0.1832E+03  0.2195E-02  0.2615E-02
  0.2565E+03  0.1641E+03  0.2537E-02  0.2128E-02
  0.2705E+03  0.1440E+03  0.2828E-02  0.1633E-02
  0.3029E+03  0.7138E+02  0.3041E-02  0.1107E-02
  0.3181E+03  0.1737E+02  0.3114E-02  0.5490E-03
  0.3196E+03  0.7001E-01  0.3129E-02 -0.2652E-08
  0.3181E+03 -0.1726E+02  0.3114E-02 -0.5490E-03
  0.3031E+03 -0.7069E+02  0.3041E-02 -0.1107E-02
  0.2702E+03 -0.1443E+03  0.2829E-02 -0.1633E-02
  0.2556E+03 -0.1652E+03  0.2537E-02 -0.2128E-02
  0.2332E+03 -0.1873E+03  0.2191E-02 -0.2611E-02
  0.1414E+03 -0.2530E+03  0.1725E-02 -0.2988E-02
  0.4210E+02 -0.2999E+03  0.1155E-02 -0.3172E-02
  0.1782E+02 -0.3066E+03  0.5691E-03 -0.3228E-02
  0.4194E+00 -0.3082E+03 -0.8210E-06 -0.3245E-02
 -0.1660E+02 -0.3067E+03 -0.5699E-03 -0.3230E-02
 -0.3822E+02 -0.3007E+03 -0.1158E-02 -0.3178E-02
 -0.1003E+03 -0.2694E+03 -0.1764E-02 -0.3055E-02
 -0.2374E+03 -0.1832E+03 -0.2195E-02 -0.2615E-02
 -0.2565E+03 -0.1641E+03 -0.2537E-02 -0.2128E-02
 -0.2705E+03 -0.1440E+03 -0.2828E-02 -0.1633E-02
 -0.3029E+03 -0.7138E+02 -0.3041E-02 -0.1107E-02
 -0.3181E+03 -0.1737E+02 -0.3114E-02 -0.5490E-03
 -0.3196E+03 -0.7001E-01 -0.3129E-02  0.2652E-08
 -0.3181E+03  0.1726E+02 -0.3114E-02  0.5490E-03
 -0.3031E+03  0.7069E+02 -0.3041E-02  0.1107E-02
 -0.2702E+03  0.1443E+03 -0.2829E-02  0.1633E-02
 -0.2556E+03  0.1652E+03 -0.2537E-02  0.2128E-02
 -0.2332E+03  0.1873E+03 -0.2191E-02  0.2611E-02
 -0.1414E+03  0.2530E+03 -0.1725E-02  0.2988E-02
 -0.4210E+02  0.2999E+03 -0.1155E-02  0.3172E-02
 -0.1782E+02  0.3066E+03 -0.5691E-03  0.3228E-02
 -0.4194E+00  0.3082E+03  0.8210E-06  0.3245E-02
          S1          S2          D1          D2
 -0.4159E+00  0.3191E+03  0.7578E-06  0.3134E-02
  0.1719E+02  0.3175E+03  0.5504E-03  0.3120E-02
  0.3957E+02  0.3114E+03  0.1118E-02  0.3070E-02
  0.1038E+03  0.2790E+03  0.1704E-02  0.2951E-02
  0.2457E+03  0.1897E+03  0.2120E-02  0.2526E-02
  0.2656E+03  0.1699E+03  0.2451E-02  0.2055E-02
  0.2800E+03  0.1491E+03  0.2731E-02  0.1577E-02
  0.3136E+03  0.7385E+02  0.2937E-02  0.1069E-02
  0.3293E+03  0.1798E+02  0.3007E-02  0.5303E-03
  0.3309E+03  0.6834E-01  0.3022E-02 -0.1278E-08
  0.3293E+03 -0.1787E+02  0.3008E-02 -0.5303E-03
  0.3138E+03 -0.7322E+02  0.2937E-02 -0.1069E-02
  0.2797E+03 -0.1494E+03  0.2732E-02 -0.1578E-02
  0.2647E+03 -0.1709E+03  0.2450E-02 -0.2056E-02
  0.2416E+03 -0.1938E+03  0.2116E-02 -0.2522E-02
  0.1463E+03 -0.2618E+03  0.1667E-02 -0.2888E-02
  0.4341E+02 -0.3105E+03  0.1115E-02 -0.3064E-02
  0.1840E+02 -0.3175E+03  0.5495E-03 -0.3118E-02
  0.4159E+00 -0.3191E+03 -0.7578E-06 -0.3134E-02
 -0.1719E+02 -0.3175E+03 -0.5504E-03 -0.3120E-02
 -0.3957E+02 -0.3114E+03 -0.1118E-02 -0.3070E-02
 -0.1038E+03 -0.2790E+03 -0.1704E-02 -0.2951E-02
 -0.2457E+03 -0.1897E+03 -0.2120E-02 -0.2526E-02
 -0.2656E+03 -0.1699E+03 -0.2451E-02 -0.2055E-02
 -0.2800E+03 -0.1491E+03 -0.2731E-02 -0.1577E-02
 -0.3136E+03 -0.7385E+02 -0.2937E-02 -0.1069E-02
 -0.3293E+03 -0.1798E+02 -0.3007E-02 -0.5303E-03
 -0.3309E+03 -0.6834E-01 -0.3022E-02  0.1278E-08
 -0.3293E+03  0.1787E+02 -0.3008E-02  0.5303E-03
 -0.3138E+03  0.7322E+02 -0.2937E-02  0.1069E-02
 -0.2797E+03  0.1494E+03 -0.2732E-02  0.1578E-02
 -0.2647E+03  0.1709E+03 -0.2450E-02  0.2056E-02
 -0.2416E+03  0.1938E+03 -0.2116E-02  0.2522E-02
 -0.1463E+03  0.2618E+03 -0.1667E-02  0.2888E-02
 -0.4341E+02  0.3105E+03 -0.1115E-02  0.3064E-02
 -0.1840E+02  0.3175E+03 -0.5495E-03  0.3118E-02
 -0.4159E+00  0.3191E+03  0.7578E-06  0.3134E-02
          S1          S2          D1          D2
 -0.4089E+00  0.3275E+03  0.7058E-06  0.3053E-02
  0.1765E+02  0.3259E+03  0.5363E-03  0.3040E-02
  0.4061E+02  0.3196E+03  0.1090E-02  0.2991E-02
  0.1064E+03  0.2864E+03  0.1660E-02  0.2875E-02
  0.2522E+03  0.1946E+03  0.2065E-02  0.2461E-02
  0.2726E+03  0.1744E+03  0.2388E-02  0.2002E-02
  0.2874E+03  0.1530E+03  0.2661E-02  0.1536E-02
  0.3218E+03  0.7575E+02  0.2862E-02  0.1042E-02
  0.3380E+03  0.1845E+02  0.2930E-02  0.5167E-03
  0.3396E+03  0.6602E-01  0.2944E-02 -0.3929E-10
  0.3380E+03 -0.1835E+02  0.2930E-02 -0.5167E-03
  0.3221E+03 -0.7517E+02  0.2862E-02 -0.1042E-02
  0.2871E+03 -0.1533E+03  0.2662E-02 -0.1537E-02
  0.2717E+03 -0.1754E+03  0.2387E-02 -0.2003E-02
  0.2482E+03 -0.1987E+03  0.2062E-02 -0.2458E-02
  0.1500E+03 -0.2686E+03  0.1625E-02 -0.2815E-02
  0.4437E+02 -0.3188E+03  0.1087E-02 -0.2986E-02
  0.1884E+02 -0.3258E+03  0.5354E-03 -0.3038E-02
  0.4089E+00 -0.3275E+03 -0.7058E-06 -0.3053E-02
 -0.1765E+02 -0.3259E+03 -0.5363E-03 -0.3040E-02
 -0.4061E+02 -0.3196E+03 -0.1090E-02 -0.2991E-02
 -0.1064E+03 -0.2864E+03 -0.1660E-02 -0.2875E-02
 -0.2522E+03 -0.1946E+03 -0.2065E-02 -0.2461E-02
 -0.2726E+03 -0.1744E+03 -0.2388E-02 -0.2002E-02
 -0.2874E+03 -0.1530E+03 -0.2661E-02 -0.1536E-02
 -0.3218E+03 -0.7575E+02 -0.2862E-02 -0.1042E-02
 -0.3380E+03 -0.1845E+02 -0.2930E-02 -0.5167E-03
 -0.3396E+03 -0.6602E-01 -0.2944E-02  0.3929E-10
 -0.3380E+03  0.1835E+02 -0.2930E-02  0.5167E-03
 -0.3221E+03  0.7517E+02 -0.2862E-02  0.1042E-02
 -0.2871E+03  0.1533E+03 -0.2662E-02  0.1537E-02
 -0.2717E+03  0.1754E+03 -0.2387E-02  0.2003E-02
 -0.2482E+03  0.1987E+03 -0.2062E-02  0.2458E-02
 -0.1500E+03  0.2686E+03 -0.1625E-02  0.2815E-02
