
*******   STEP   1      *** NEFF=10 CALCULATION                
    1   0.503E-02   0.223E-03   0.319E-03
    2   0.140E-04   0.103E-02   0.275E-03
    3   0.614E-04   0.848E-03   0.803E-04

*******   STEP   2      *** NEFF=10 CALCULATION                
    1   0.301E-01   0.492E+00   0.662E-01
    2   0.134E-01   0.205E+00   0.255E-01
    3   0.541E-02   0.836E-01   0.999E-02
    4   0.216E-02   0.340E-01   0.397E-02
    5   0.874E-03   0.139E-01   0.160E-02
    6   0.358E-03   0.578E-02   0.653E-03
    7   0.149E-03   0.245E-02   0.271E-03
    8   0.140E-03   0.984E-03   0.103E-03

*******   STEP   3      *** NEFF=10 CALCULATION                
    1   0.364E-01   0.569E+00   0.719E-01
    2   0.191E-01   0.299E+00   0.309E-01
    3   0.902E-02   0.146E+00   0.136E-01
    4   0.410E-02   0.682E-01   0.607E-02
    5   0.185E-02   0.312E-01   0.272E-02
    6   0.831E-03   0.141E-01   0.122E-02
    7   0.373E-03   0.639E-02   0.548E-03
    8   0.353E-03   0.270E-02   0.876E-04
    9   0.149E-03   0.653E-03   0.352E-03

*******   STEP   4      *** NEFF=10 CALCULATION                
    1   0.508E-01   0.912E+00   0.880E-01
    2   0.395E-01   0.800E+00   0.495E-01
    3   0.306E-01   0.696E+00   0.303E-01
    4   0.236E-01   0.596E+00   0.196E-01
    5   0.182E-01   0.500E+00   0.133E-01
    6   0.140E-01   0.413E+00   0.931E-02
    7   0.107E-01   0.335E+00   0.666E-02
    8   0.821E-02   0.268E+00   0.486E-02
    9   0.626E-02   0.213E+00   0.358E-02
   10   0.477E-02   0.167E+00   0.267E-02
   11   0.364E-02   0.131E+00   0.200E-02
   12   0.277E-02   0.102E+00   0.151E-02
   13   0.270E-02   0.784E-01   0.104E-02
   14   0.205E-02   0.554E-01   0.692E-03
   15   0.142E-02   0.379E-01   0.456E-03
   16   0.954E-03   0.257E-01   0.300E-03
   17   0.632E-03   0.176E-01   0.199E-03
   18   0.418E-03   0.123E-01   0.132E-03
   19   0.277E-03   0.898E-02   0.908E-04
   20   0.186E-03   0.685E-02   0.657E-04
   21   0.126E-03   0.549E-02   0.451E-04
   22   0.880E-04   0.460E-02   0.338E-04
   23   0.637E-04   0.397E-02   0.293E-04
   24   0.483E-04   0.350E-02   0.212E-04
   25   0.385E-04   0.312E-02   0.198E-04
   26   0.320E-04   0.280E-02   0.200E-04
   27   0.275E-04   0.252E-02   0.140E-04
   28   0.242E-04   0.227E-02   0.141E-04
   29   0.215E-04   0.205E-02   0.147E-04
   30   0.193E-04   0.185E-02   0.993E-05
   31   0.174E-04   0.167E-02   0.110E-04
   32   0.156E-04   0.151E-02   0.114E-04
   33   0.141E-04   0.136E-02   0.726E-05
   34   0.128E-04   0.123E-02   0.857E-05
   35   0.115E-04   0.111E-02   0.870E-05
   36   0.104E-04   0.100E-02   0.528E-05
   37   0.941E-05   0.907E-03   0.684E-05

*******   STEP   5      *** NEFF=10 CALCULATION                
    1   0.293E-01   0.191E+01   0.156E+00
    2   0.128E-01   0.191E+01   0.894E-01
    3   0.274E-01   0.820E+00   0.441E-01
    4   0.157E-01   0.334E+00   0.212E-01
    5   0.768E-02   0.148E+00   0.101E-01
    6   0.366E-02   0.698E-01   0.484E-02
    7   0.176E-02   0.349E-01   0.234E-02
    8   0.874E-03   0.188E-01   0.117E-02
    9   0.456E-03   0.111E-01   0.617E-03
   10   0.434E-03   0.693E-02   0.231E-03
   11   0.239E-03   0.382E-02   0.297E-03
   12   0.112E-03   0.270E-02   0.245E-03
   13   0.111E-03   0.178E-02   0.990E-04
   14   0.838E-04   0.712E-03   0.262E-04

