    epsacu     sdev1     sdev2     sdev3     sdev4     sdev5     ddev1     ddev2     ddev3     ddev4     ddev5
     0.000     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.000     0.000     0.001     0.007     0.001     0.000     0.001     0.001     0.012     0.001     0.000
     0.000     0.001     0.001     0.009     0.001     0.001     0.001     0.001     0.013     0.002     0.001
     0.000     0.011     0.005     0.010     0.002     0.009     0.006     0.004     0.004     0.001     0.005
     0.000     0.007     0.003     0.000     0.001     0.027     0.009     0.005     0.000     0.001     0.037
     0.000     0.002     0.009     0.001     0.001     0.018     0.003     0.017     0.001     0.001     0.030
     0.000     0.007     0.019     0.001     0.000     0.006     0.011     0.032     0.002     0.000     0.010
     0.000     0.048     0.065     0.006     0.003     0.072     0.043     0.056     0.008     0.003     0.031
     0.000     0.041     0.013     0.005     0.004     0.009     0.090     0.023     0.011     0.008     0.016
     0.000     0.040     0.000     0.004     0.004     0.007     0.097     0.001     0.010     0.009     0.017
     0.000     0.041     0.012     0.004     0.004     0.008     0.088     0.024     0.009     0.010     0.016
     0.000     0.048     0.062     0.005     0.004     0.066     0.041     0.056     0.010     0.007     0.032
     0.000     0.007     0.019     0.004     0.001     0.005     0.011     0.032     0.008     0.002     0.010
     0.000     0.002     0.009     0.002     0.001     0.018     0.003     0.017     0.004     0.002     0.030
     0.000     0.008     0.007     0.010     0.002     0.026     0.010     0.008     0.012     0.005     0.035
     0.000     0.010     0.010     0.012     0.015     0.015     0.011     0.013     0.015     0.019     0.020
     0.000     0.006     0.001     0.007     0.002     0.002     0.007     0.001     0.009     0.003     0.003
     0.000     0.002     0.000     0.001     0.000     0.001     0.004     0.001     0.001     0.001     0.001
    epsacu     sdev1     sdev2     sdev3     sdev4     sdev5     ddev1     ddev2     ddev3     ddev4     ddev5
     0.000     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.000     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.001     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.001     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.001     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.001     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.002     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.002     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.002     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.002     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.003     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.003     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.003     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.003     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.004     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.004     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.004     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.004     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.005     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.005     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.005     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.005     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.006     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.006     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.006     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.006     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.007     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.007     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.007     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.007     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.008     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.008     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.008     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.008     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
