          S1          S2          D1          D2
 -0.5235E+02 -0.1638E+03  0.5884E-08 -0.6103E-02
 -0.7644E+02 -0.1618E+03 -0.1006E-02 -0.5707E-02
 -0.9432E+02 -0.1570E+03 -0.1902E-02 -0.5226E-02
 -0.1267E+03 -0.1412E+03 -0.2693E-02 -0.4665E-02
 -0.1500E+03 -0.1247E+03 -0.3349E-02 -0.3991E-02
 -0.1597E+03 -0.1153E+03 -0.3900E-02 -0.3273E-02
 -0.1652E+03 -0.1074E+03 -0.4401E-02 -0.2541E-02
 -0.1687E+03 -0.9991E+02 -0.4876E-02 -0.1775E-02
 -0.1713E+03 -0.9006E+02 -0.5343E-02 -0.9421E-03
 -0.1730E+03 -0.6426E+02 -0.5780E-02 -0.1093E-07
 -0.1699E+03 -0.1359E+02 -0.5972E-02  0.1053E-02
 -0.1636E+03  0.9591E+01 -0.5985E-02  0.2178E-02
 -0.1499E+03  0.3880E+02 -0.5804E-02  0.3351E-02
 -0.1340E+03  0.6165E+02 -0.5385E-02  0.4518E-02
 -0.1020E+03  0.9250E+02 -0.4712E-02  0.5616E-02
 -0.5118E+02  0.1274E+03 -0.3678E-02  0.6370E-02
  0.6664E+01  0.1551E+03 -0.2384E-02  0.6550E-02
  0.3175E+02  0.1621E+03 -0.1127E-02  0.6390E-02
  0.5234E+02  0.1638E+03 -0.9190E-07  0.6103E-02
  0.7644E+02  0.1618E+03  0.1006E-02  0.5707E-02
  0.9432E+02  0.1570E+03  0.1902E-02  0.5226E-02
  0.1267E+03  0.1412E+03  0.2693E-02  0.4665E-02
  0.1500E+03  0.1247E+03  0.3349E-02  0.3991E-02
  0.1597E+03  0.1153E+03  0.3900E-02  0.3273E-02
  0.1652E+03  0.1074E+03  0.4401E-02  0.2541E-02
  0.1687E+03  0.9991E+02  0.4876E-02  0.1775E-02
  0.1713E+03  0.9006E+02  0.5343E-02  0.9421E-03
  0.1730E+03  0.6426E+02  0.5780E-02  0.1093E-07
  0.1699E+03  0.1359E+02  0.5972E-02 -0.1053E-02
  0.1636E+03 -0.9591E+01  0.5985E-02 -0.2178E-02
  0.1499E+03 -0.3880E+02  0.5804E-02 -0.3351E-02
  0.1340E+03 -0.6165E+02  0.5385E-02 -0.4518E-02
  0.1020E+03 -0.9250E+02  0.4712E-02 -0.5616E-02
  0.5118E+02 -0.1274E+03  0.3678E-02 -0.6370E-02
 -0.6665E+01 -0.1551E+03  0.2384E-02 -0.6550E-02
 -0.3175E+02 -0.1621E+03  0.1127E-02 -0.6390E-02
 -0.5235E+02 -0.1638E+03  0.5884E-08 -0.6103E-02
          S1          S2          D1          D2
 -0.8167E+02 -0.2829E+03 -0.6986E-08 -0.3535E-02
 -0.1156E+03 -0.2800E+03 -0.5870E-03 -0.3330E-02
 -0.1436E+03 -0.2725E+03 -0.1121E-02 -0.3079E-02
 -0.2067E+03 -0.2411E+03 -0.1602E-02 -0.2774E-02
 -0.2466E+03 -0.2132E+03 -0.1998E-02 -0.2381E-02
 -0.2619E+03 -0.1982E+03 -0.2336E-02 -0.1960E-02
 -0.2717E+03 -0.1841E+03 -0.2645E-02 -0.1527E-02
 -0.2776E+03 -0.1715E+03 -0.2941E-02 -0.1070E-02
 -0.2818E+03 -0.1554E+03 -0.3234E-02 -0.5702E-03
 -0.2846E+03 -0.1133E+03 -0.3513E-02 -0.9750E-08
 -0.2782E+03 -0.1037E+02 -0.3619E-02  0.6380E-03
 -0.2671E+03  0.3086E+02 -0.3593E-02  0.1308E-02
 -0.2461E+03  0.7579E+02 -0.3450E-02  0.1992E-02
 -0.2206E+03  0.1123E+03 -0.3176E-02  0.2665E-02
 -0.1731E+03  0.1586E+03 -0.2762E-02  0.3292E-02
 -0.7060E+02  0.2289E+03 -0.2141E-02  0.3709E-02
  0.1458E+02  0.2702E+03 -0.1374E-02  0.3775E-02
  0.5091E+02  0.2803E+03 -0.6500E-03  0.3686E-02
  0.8167E+02  0.2829E+03 -0.6311E-07  0.3535E-02
  0.1156E+03  0.2800E+03  0.5870E-03  0.3330E-02
  0.1436E+03  0.2725E+03  0.1121E-02  0.3079E-02
  0.2067E+03  0.2411E+03  0.1602E-02  0.2774E-02
  0.2466E+03  0.2132E+03  0.1998E-02  0.2381E-02
  0.2619E+03  0.1982E+03  0.2336E-02  0.1960E-02
  0.2717E+03  0.1841E+03  0.2645E-02  0.1527E-02
  0.2776E+03  0.1715E+03  0.2941E-02  0.1070E-02
  0.2818E+03  0.1554E+03  0.3234E-02  0.5702E-03
  0.2846E+03  0.1133E+03  0.3513E-02  0.9748E-08
  0.2782E+03  0.1038E+02  0.3619E-02 -0.6380E-03
  0.2671E+03 -0.3085E+02  0.3593E-02 -0.1308E-02
  0.2461E+03 -0.7578E+02  0.3450E-02 -0.1992E-02
  0.2206E+03 -0.1123E+03  0.3176E-02 -0.2665E-02
  0.1730E+03 -0.1586E+03  0.2762E-02 -0.3292E-02
  0.7059E+02 -0.2289E+03  0.2141E-02 -0.3709E-02
 -0.1459E+02 -0.2702E+03  0.1374E-02 -0.3775E-02
 -0.5092E+02 -0.2803E+03  0.6500E-03 -0.3686E-02
 -0.8167E+02 -0.2829E+03 -0.6986E-08 -0.3535E-02
          S1          S2          D1          D2
 -0.1040E+03 -0.3492E+03 -0.4888E-09 -0.2863E-02
 -0.1452E+03 -0.3456E+03 -0.4749E-03 -0.2694E-02
 -0.1786E+03 -0.3368E+03 -0.9058E-03 -0.2489E-02
 -0.2516E+03 -0.3003E+03 -0.1296E-02 -0.2244E-02
 -0.2976E+03 -0.2680E+03 -0.1621E-02 -0.1932E-02
 -0.3166E+03 -0.2494E+03 -0.1902E-02 -0.1596E-02
 -0.3289E+03 -0.2318E+03 -0.2161E-02 -0.1248E-02
 -0.3362E+03 -0.2162E+03 -0.2410E-02 -0.8773E-03
 -0.3414E+03 -0.1965E+03 -0.2660E-02 -0.4690E-03
 -0.3446E+03 -0.1474E+03 -0.2902E-02 -0.1006E-07
 -0.3363E+03 -0.2100E+02 -0.3006E-02  0.5301E-03
 -0.3218E+03  0.3317E+02 -0.2995E-02  0.1090E-02
 -0.2944E+03  0.9194E+02 -0.2878E-02  0.1662E-02
 -0.2619E+03  0.1384E+03 -0.2645E-02  0.2220E-02
 -0.2000E+03  0.1987E+03 -0.2289E-02  0.2728E-02
 -0.7048E+02  0.2882E+03 -0.1755E-02  0.3041E-02
  0.2532E+02  0.3344E+03 -0.1119E-02  0.3075E-02
  0.6724E+02  0.3460E+03 -0.5278E-03  0.2993E-02
  0.1041E+03  0.3492E+03 -0.5567E-07  0.2864E-02
