
*******   STEP   1      *** NEFF=10 CALCULATION                
    1   0.110E-05   0.304E-04   0.790E-05

*******   STEP   2      *** NEFF=10 CALCULATION                
    1   0.801E-02   0.986E+00   0.555E-01
    2   0.570E-02   0.856E+00   0.393E-01
    3   0.497E-02   0.745E+00   0.327E-01
    4   0.443E-02   0.644E+00   0.276E-01
    5   0.393E-02   0.553E+00   0.234E-01
    6   0.345E-02   0.474E+00   0.197E-01
    7   0.300E-02   0.404E+00   0.167E-01
    8   0.259E-02   0.343E+00   0.141E-01
    9   0.223E-02   0.291E+00   0.119E-01
   10   0.190E-02   0.247E+00   0.100E-01
   11   0.162E-02   0.209E+00   0.847E-02
   12   0.138E-02   0.177E+00   0.715E-02
   13   0.117E-02   0.149E+00   0.603E-02
   14   0.989E-03   0.126E+00   0.509E-02
   15   0.837E-03   0.106E+00   0.429E-02
   16   0.707E-03   0.898E-01   0.362E-02
   17   0.597E-03   0.758E-01   0.305E-02
   18   0.504E-03   0.639E-01   0.257E-02
   19   0.426E-03   0.539E-01   0.217E-02
   20   0.359E-03   0.455E-01   0.183E-02
   21   0.356E-03   0.383E-01   0.149E-02
   22   0.300E-03   0.312E-01   0.121E-02
   23   0.245E-03   0.253E-01   0.977E-03
   24   0.198E-03   0.204E-01   0.789E-03
   25   0.160E-03   0.165E-01   0.637E-03
   26   0.130E-03   0.133E-01   0.514E-03
   27   0.105E-03   0.108E-01   0.416E-03
   28   0.845E-04   0.870E-02   0.336E-03
   29   0.682E-04   0.702E-02   0.271E-03
   30   0.551E-04   0.567E-02   0.219E-03
   31   0.445E-04   0.458E-02   0.177E-03
   32   0.360E-04   0.370E-02   0.143E-03
   33   0.290E-04   0.299E-02   0.115E-03
   34   0.234E-04   0.241E-02   0.931E-04
   35   0.189E-04   0.195E-02   0.752E-04
   36   0.153E-04   0.157E-02   0.607E-04
   37   0.123E-04   0.127E-02   0.490E-04
   38   0.997E-05   0.103E-02   0.395E-04
   39   0.805E-05   0.828E-03   0.319E-04

*******   STEP   3      *** NEFF=10 CALCULATION                
    1   0.862E-02   0.113E+01   0.627E-01
    2   0.630E-02   0.980E+00   0.432E-01
    3   0.553E-02   0.853E+00   0.353E-01
    4   0.497E-02   0.737E+00   0.296E-01
    5   0.445E-02   0.633E+00   0.250E-01
    6   0.393E-02   0.541E+00   0.210E-01
    7   0.344E-02   0.460E+00   0.177E-01
    8   0.298E-02   0.390E+00   0.149E-01
    9   0.256E-02   0.330E+00   0.125E-01
   10   0.219E-02   0.278E+00   0.105E-01
   11   0.186E-02   0.235E+00   0.882E-02
   12   0.158E-02   0.198E+00   0.741E-02
   13   0.133E-02   0.166E+00   0.622E-02
   14   0.113E-02   0.140E+00   0.522E-02
   15   0.949E-03   0.117E+00   0.438E-02
   16   0.798E-03   0.986E-01   0.367E-02
   17   0.671E-03   0.828E-01   0.308E-02
   18   0.564E-03   0.695E-01   0.259E-02
   19   0.474E-03   0.583E-01   0.217E-02
   20   0.398E-03   0.489E-01   0.182E-02
   21   0.334E-03   0.411E-01   0.153E-02
   22   0.280E-03   0.344E-01   0.128E-02
   23   0.278E-03   0.288E-01   0.104E-02
   24   0.233E-03   0.233E-01   0.831E-03
   25   0.188E-03   0.187E-01   0.666E-03
   26   0.151E-03   0.150E-01   0.533E-03
   27   0.121E-03   0.120E-01   0.426E-03
   28   0.970E-04   0.962E-02   0.341E-03
   29   0.776E-04   0.770E-02   0.273E-03
   30   0.621E-04   0.616E-02   0.219E-03
   31   0.497E-04   0.493E-02   0.175E-03
   32   0.398E-04   0.394E-02   0.140E-03
   33   0.319E-04   0.316E-02   0.112E-03
   34   0.255E-04   0.253E-02   0.895E-04
   35   0.204E-04   0.202E-02   0.717E-04
   36   0.163E-04   0.162E-02   0.575E-04
   37   0.131E-04   0.129E-02   0.460E-04
   38   0.105E-04   0.104E-02   0.367E-04
   39   0.836E-05   0.829E-03   0.293E-04

*******   STEP   4      *** NEFF=10 CALCULATION                
    1   0.994E-02   0.128E+01   0.717E-01
    2   0.745E-02   0.112E+01   0.479E-01
    3   0.654E-02   0.983E+00   0.377E-01
    4   0.591E-02   0.854E+00   0.310E-01
    5   0.532E-02   0.736E+00   0.258E-01
    6   0.474E-02   0.631E+00   0.214E-01
    7   0.417E-02   0.538E+00   0.178E-01
    8   0.362E-02   0.456E+00   0.148E-01
    9   0.312E-02   0.386E+00   0.123E-01
   10   0.267E-02   0.325E+00   0.103E-01
   11   0.226E-02   0.273E+00   0.854E-02
   12   0.191E-02   0.229E+00   0.711E-02
   13   0.161E-02   0.192E+00   0.592E-02
   14   0.135E-02   0.161E+00   0.492E-02
   15   0.113E-02   0.134E+00   0.410E-02
   16   0.947E-03   0.112E+00   0.341E-02
   17   0.792E-03   0.938E-01   0.284E-02
   18   0.661E-03   0.783E-01   0.236E-02
   19   0.551E-03   0.653E-01   0.197E-02
   20   0.460E-03   0.544E-01   0.164E-02
   21   0.383E-03   0.454E-01   0.136E-02
   22   0.320E-03   0.378E-01   0.113E-02
   23   0.266E-03   0.315E-01   0.945E-03
   24   0.264E-03   0.262E-01   0.756E-03
   25   0.220E-03   0.210E-01   0.600E-03
   26   0.176E-03   0.167E-01   0.475E-03
   27   0.140E-03   0.132E-01   0.375E-03
   28   0.110E-03   0.104E-01   0.296E-03
   29   0.873E-04   0.824E-02   0.234E-03
   30   0.691E-04   0.652E-02   0.185E-03
   31   0.546E-04   0.515E-02   0.147E-03
   32   0.432E-04   0.407E-02   0.116E-03
   33   0.341E-04   0.322E-02   0.914E-04
   34   0.270E-04   0.254E-02   0.721E-04
   35   0.213E-04   0.201E-02   0.570E-04
   36   0.168E-04   0.159E-02   0.452E-04
   37   0.133E-04   0.126E-02   0.359E-04
   38   0.105E-04   0.993E-03   0.284E-04

*******   STEP   5      *** NEFF=10 CALCULATION                
    1   0.114E-01   0.157E+01   0.841E-01
    2   0.902E-02   0.148E+01   0.571E-01
    3   0.812E-02   0.137E+01   0.439E-01
    4   0.755E-02   0.127E+01   0.356E-01
